title,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Price
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
MG Midget,75043,1972,3,Petrol,Convertible,1.3L,Manual,2,null,null,1875
Vauxhall Adam,120000,2014,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,2745
Peugeot 1007,56817,2008,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 4,1990
Nissan Micra,85285,2009,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,1650
Vauxhall Corsa,82000,2010,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,2250
Volkswagen Polo,87009,2009,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,3795
Ford Mondeo,69756,2012,4,Diesel,Hatchback,2.2L,Manual,5,5,Euro 5,5450
Audi A6 Avant,234680,2011,1,Diesel,Estate,2.0L,Manual,5,5,Euro 5,2600
BMW 3 Series,77708,2001,7,Petrol,Coupe,2.2L,Manual,2,5,Euro 3,2999
Vauxhall Meriva,68840,2011,4,Petrol,MPV,1.4L,Manual,5,5,Euro 5,1990
Ford Focus,140599,2008,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,798
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
Ford Focus,109000,2009,0,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,2395
BMW 3 Series,119300,2002,0,Petrol,Saloon,2.2L,Manual,4,5,Euro 3,1789
Mercedes-Benz B Class,78000,2013,0,Diesel,MPV,1.8L,Automatic,5,5,Euro 5,5995
Nissan Qashqai,120090,2011,2,Petrol,SUV,1.6L,Manual,5,5,Euro 5,3795
Nissan Almera Tino,93000,2004,3,Petrol,MPV,1.8L,Manual,5,5,Euro 3,990
Mercedes-Benz C Class,140000,2012,2,Diesel,Coupe,2.1L,Manual,2,4,Euro 5,3100
Ford KA,88000,2009,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 4,1950
Vauxhall Corsa,77000,2009,7,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,2250
SKODA Fabia,124138,2011,3,Petrol,Hatchback,1.2L,Automatic,5,5,Euro 5,2495
Renault Megane,101347,2011,2,Petrol,Estate,1.6L,Manual,5,5,Euro 5,2495
Ford Focus,140599,2008,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,798
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
BMW 1 Series,107000,2009,5,Petrol,Hatchback,1.6L,Automatic,3,4,Euro 4,2999
Mercedes-Benz C Class,130000,2007,0,Petrol,Saloon,1.8L,Automatic,4,5,Euro 4,2495
Saab 9-3,67200,2003,3,Petrol,Saloon,2.0L,Manual,4,5,Euro 3,2299
