title,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Price
Vauxhall Astra,77474,2015,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,6600
Audi A3,57199,2015,0,Diesel,Saloon,2.0L,Manual,4,5,Euro 6,12695
BMW 3 Series,50000,2011,0,Diesel,Saloon,2.0L,Automatic,4,5,Euro 5,5990
Volvo S60,62000,2012,0,Diesel,Saloon,2.0L,Manual,4,5,Euro 5,7195
Audi A5,126502,2014,2,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,6999
Volkswagen Golf,45049,2018,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,12795
Hyundai i20,105472,2009,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1850
Volkswagen T-cross,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,17670
Toyota Aygo,16420,2019,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,10700
Vauxhall Mokka X,41729,2019,2,Petrol,SUV,1.4L,Manual,5,5,Euro 6,10899
Land Rover Range Rover Evoque,26994,2019,0,Diesel,SUV,2.0L,Manual,5,5,Euro 6,25100
Alfa Romeo Giulietta,17544,2019,1,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,12599
Peugeot 208,10627,2019,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,12697
Honda Civic Diesel Hatchback,76773,2020,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,12895
Renault Clio,21670,2017,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,9450
Fiat 500X,58058,2016,2,Petrol,SUV,1.6L,Manual,5,5,Euro 6,7097
Fiat 500X,67109,2016,3,Diesel,SUV,2.0L,Automatic,5,5,Euro 6,8990
Ford Kuga,43841,2019,1,Petrol,SUV,1.5L,Manual,5,5,Euro 6,14495
Toyota Aygo,16420,2019,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,10700
Audi A5 DIESEL COUPE,68603,2017,1,Diesel,Coupe,2.0L,Automatic,2,4,Euro 6,16555
Renault Clio,49908,2021,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11890
Audi Q3,153627,2015,0,Diesel,SUV,2.0L,Manual,5,5,Euro 6,7999
Audi A1,75321,2011,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,5990
Vauxhall Corsa,32781,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,11998
Vauxhall Grandland X,42160,2021,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,14499
Vauxhall Corsa,34540,2019,2,Petrol,Hatchback,1.4L,Manual,3,5,Euro 6,8999
Mercedes-Benz A Class,100762,2013,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,6999
Vauxhall Corsa,84811,2015,3,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,4750
SKODA Octavia,95548,2013,2,Diesel,Hatchback,2.0L,Automatic,5,5,Euro 5,6150
Volkswagen T-cross,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,17670
Toyota Aygo,16420,2019,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,10700
Fiat 500,32400,2014,2,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,6800
Ssangyong Korando,82400,2013,0,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,4277
Land Rover Range Rover Sport,46000,2017,2,Diesel,SUV,2.0L,Automatic,5,5,Euro 6,30000
Audi A4 Avant,127000,2013,3,Diesel,Estate,2.0L,Manual,5,5,Euro 5,6250
Nissan Qashqai Hatchback,33000,2020,1,Petrol,SUV,1.3L,Manual,5,5,Euro 6,14999
SEAT Ibiza,54111,2017,2,Petrol,Hatchback,1.2L,Manual,3,5,Euro 6,8499
Renault Clio,28865,2020,2,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11799
Vauxhall Corsa,13109,2020,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10999
Toyota Aygo,110000,2006,4,Petrol,Hatchback,1.0L,Manual,5,4,Euro 4,1795
Toyota Aygo,16420,2019,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,10700
Toyota Aygo,16420,2019,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,10700
BMW 1 Series,90395,2015,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 6,7250
SKODA Fabia,33517,2019,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11029
Citroen C3,44106,2019,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,9564
Vauxhall Insignia,91344,2018,1,Diesel,Estate,1.6L,Manual,5,5,Euro 6,8695
Ford Fiesta,6561,2021,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,14983
Ford Fiesta,50849,2013,4,Petrol,Hatchback,1.3L,Manual,3,5,Euro 5,5400
Citroen C4 PICASSO DIESEL MPV,9000,2017,1,Diesel,MPV,1.6L,Manual,5,5,Euro 6,11999
Fiat 500,33211,2017,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,6999
Toyota Aygo,16420,2019,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,10700
Volkswagen Polo,11500,2021,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,15970
Peugeot 2008,29258,2018,2,Petrol,SUV,1.2L,Manual,5,5,Euro 6,11520
Jaguar XE,45000,2017,3,Diesel,Saloon,2.0L,Automatic,4,5,Euro 6,16095
Mercedes-Benz CLS,88000,2013,0,Diesel,Saloon,3.0L,Automatic,4,4,Euro 5,10995
Vauxhall Corsa,26831,2020,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,12299
Hyundai I20,12214,2016,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,9495
Mercedes-Benz C Class,63276,2014,0,Diesel,Saloon,2.1L,Automatic,4,5,Euro 6,12295
BMW 1 Series,111681,2015,1,Diesel,Hatchback,2.0L,Manual,5,5,Euro 6,6030
Ford Focus Active,19195,2020,0,Petrol,Estate,1.0L,Manual,5,5,Euro 6,16250
Renault Clio,74434,2017,2,Petrol,Hatchback,1.1L,Manual,5,5,Euro 6,6495
Volkswagen T-cross,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,17670
Toyota Yaris,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5,Euro 6,13000
Vauxhall Corsa,29871,2019,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,9300
Renault Arkana,16228,2023,1,Petrol,SUV,1.3L,Automatic,5,5,Euro 6,21495
Nissan Micra,104000,2017,2,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,6550
Citroen C1,45000,2012,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,4300
Ford Fiesta,28249,2013,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,6995
Nissan Juke,81761,2013,3,Petrol,SUV,1.6L,Automatic,5,5,Euro 5,6495
Nissan Qashqai,50888,2017,1,Diesel,SUV,1.6L,Automatic,5,5,Euro 6,14000
Ford Kuga,58223,2018,2,Diesel,SUV,1.5L,Manual,5,5,Euro 6,13995
Renault Grand Scenic,73000,2011,2,Diesel,MPV,1.5L,Automatic,5,7,Euro 5,4000
Toyota Yaris,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5,Euro 6,13000
BMW 2 Series,26607,2019,0,Petrol,Coupe,1.5L,Automatic,2,4,Euro 6,17599
Nissan Micra,75000,2008,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,2685
Vauxhall Corsa,26000,2012,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,6495
Volkswagen Scirocco Diesel Coupe,65946,2014,2,Diesel,Hatchback,2.0L,Automatic,3,4,Euro 5,11497
BMW Z4,45979,2006,2,Petrol,Convertible,2.5L,Manual,2,2,Euro 4,5000
Renault Captur,72376,2014,4,Diesel,SUV,1.5L,Manual,5,5,Euro 5,6499
Nissan Qashqai,31859,2014,2,Petrol,SUV,1.2L,Manual,5,5,Euro 5,9899
BMW 5 Series,121433,2011,3,Diesel,Saloon,2.0L,Automatic,4,5,Euro 5,5400
Audi A6,39253,2014,2,Diesel,Saloon,2.0L,Manual,4,5,Euro 5,13995
Ford Focus,36132,2017,2,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,11995
BMW 2 Series,26607,2019,0,Petrol,Coupe,1.5L,Automatic,2,4,Euro 6,17599
Renault Clio,49908,2021,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11890
BMW 1 Series,38500,2012,1,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,5995
Ford Fiesta,102500,2013,2,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,3999
Land Rover Discovery Sport,41995,2017,0,Diesel,SUV,2.0L,Automatic,5,7,Euro 6,23600
Vauxhall Crossland X,43941,2020,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,10599
Volvo C70,55035,2011,0,Diesel,Convertible,2.0L,Manual,2,4,Euro 5,7495
Nissan Qashqai,60985,2018,1,Diesel,SUV,1.5L,Manual,5,5,Euro 6,11999
BMW X1,24554,2019,1,Petrol,SUV,1.5L,Manual,5,5,Euro 6,18499
Mazda MAZDA3 HATCHBACK,41284,2016,2,Petrol,Hatchback,2.0L,Manual,5,5,Euro 6,11620
Volkswagen Polo,78473,2008,2,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,4280
Mazda MX-5,41534,2015,1,Petrol,Convertible,1.5L,Manual,2,2,Euro 6,11399
Renault Clio,49908,2021,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11890
Toyota Yaris,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5,Euro 6,13000
Renault Captur,47797,2016,4,Diesel,SUV,1.5L,Manual,5,5,Euro 6,8499
Ford Fiesta,36000,2016,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,8795
KIA Sportage,69000,2012,0,Diesel,SUV,1.7L,Manual,5,5,Euro 5,7900
Land Rover Range Rover Evoque,44370,2013,4,Diesel,Coupe,2.2L,Automatic,3,5,Euro 5,15995
Vauxhall Meriva,34000,2015,2,Petrol,MPV,1.4L,Automatic,5,5,Euro 6,6990
BMW 3 SERIES,93289,2019,2,Diesel,Saloon,2.0L,Automatic,4,5,Euro 6,18695
Volkswagen Golf Hatchback,75598,2013,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,8663
Peugeot 208,21469,2021,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,13999
Renault Clio,74434,2017,2,Petrol,Hatchback,1.1L,Manual,5,5,Euro 6,6495
Toyota Yaris,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5,Euro 6,13000
Nissan Qashqai,45774,2020,0,Petrol,SUV,1.3L,Automatic,5,5,Euro 6,14990
Vauxhall Crossland,18920,2021,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,13919
Audi A3,74000,2016,2,Diesel,Saloon,2.0L,Automatic,4,5,Euro 6,14500
DS Automobiles DS 7 CROSSBACK,12716,2018,2,Petrol,SUV,1.6L,Automatic,5,5,Euro 6,19500
Volkswagen Golf,40000,2013,0,Petrol,Convertible,1.4L,Manual,2,4,Euro 5,6990
Renault Clio,47244,2016,2,Petrol,Hatchback,0.9L,Manual,5,5,Euro 6,7995
Volkswagen Passat Petrol/electric Saloon,90120,2018,0,Petrol Plug-in Hybrid,Saloon,1.4L,Automatic,4,5,Euro 6,12995
Vauxhall Corsa,46625,2020,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10361
Nissan Qashqai,78000,2014,0,Petrol,SUV,1.2L,Manual,5,5,Euro 5,9000
Renault Clio,14829,2020,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11999
Mercedes-Benz SL Class,96900,2009,6,Petrol,Convertible,3.5L,Automatic,2,2,Euro 4,9000
Volkswagen Polo,11500,2021,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,15970
Nissan Leaf,60695,2014,0,Electric,Hatchback,null,Automatic,5,5,null,5390
Peugeot 2008 ESTATE,57760,2016,2,Petrol,SUV,1.2L,Manual,5,5,Euro 6,8460
Lagonda LG6 Roadster,84000,1953,0,Petrol,Saloon,2.6L,Manual,4,null,null,14995
Suzuki Ignis,23250,2017,2,Petrol Hybrid,Hatchback,1.2L,Manual,5,4,Euro 6,10699
Volkswagen Passat,42500,2018,1,Diesel,Saloon,2.0L,Manual,4,5,Euro 6,14444
Hyundai Tucson,55012,2018,2,Diesel,SUV,1.7L,Manual,5,5,Euro 6,14043
KIA Sportage Diesel Estate,70542,2018,1,Diesel,SUV,1.6L,Manual,5,5,Euro 6,14495
Renault Clio,19861,2020,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11199
Volkswagen UP!,28000,2014,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,6795
Vauxhall Ampera,65767,2014,1,Petrol Plug-in Hybrid,Hatchback,null,Automatic,5,4,Euro 5,9499
Nissan Qashqai,76431,2017,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,8900
Toyota Aygo,110000,2006,4,Petrol,Hatchback,1.0L,Manual,5,4,Euro 4,1795
Nissan Leaf,60695,2014,0,Electric,Hatchback,null,Automatic,5,5,null,5390
Nissan Leaf,60695,2014,0,Electric,Hatchback,null,Automatic,5,5,null,5390
BMW 2 Series,15744,2021,1,Petrol,Saloon,1.5L,Manual,4,5,Euro 6,21998
Volkswagen UP,72878,2013,3,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,4699
MINI Hatch,8700,2019,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,10900
BMW 1 SERIES,60028,2013,0,Diesel,Coupe,2.0L,Manual,2,4,Euro 5,8450
Ford Fiesta,38500,2011,3,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 5,6750
Peugeot RCZ,80000,2012,0,Diesel,Coupe,2.0L,Manual,2,4,Euro 5,5800
MINI Hatchback,29205,2018,0,Petrol,Hatchback,1.5L,Automatic,5,5,Euro 6,14599
Nissan Qashqai,45774,2020,0,Petrol,SUV,1.3L,Automatic,5,5,Euro 6,14990
Volkswagen T-cross,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,17670
Maserati Quattroporte,72000,2009,3,Petrol,Saloon,4.2L,Automatic,4,5,Euro 4,10000
Hyundai i10,41491,2019,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,9495
Renault Clio,12294,2022,2,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,13999
Ford Ecosport Hatchback,15102,2020,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,14315
Mercedes-Benz M Class,107500,2007,5,Petrol,SUV,6.3L,Automatic,5,5,Euro 4,10850
Mazda MX-5,47380,2017,1,Petrol,Convertible,2.0L,Manual,2,2,Euro 6,13399
Vauxhall Crossland X,16097,2020,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,13000
Hyundai i20,105472,2009,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1850
Renault Clio,49908,2021,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11890
Volkswagen T-cross,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,17670
Volkswagen Golf,96354,2017,2,Diesel,Hatchback,2.0L,Manual,5,5,Euro 6,12995
Vauxhall Mokka X,50560,2018,1,Diesel,SUV,1.6L,Manual,5,5,Euro 6,9299
Ford Focus Diesel Hatchback,45798,2019,4,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,12250
Vauxhall Corsa,13451,2021,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,13999
Subaru Forester,120403,2013,3,Diesel,SUV,2.0L,Manual,5,5,Euro 5,4990
Ford Mondeo,97726,2017,1,Diesel,Hatchback,2.0L,Manual,5,5,Euro 6,8295
Peugeot 3008,15387,2021,1,Diesel,SUV,1.5L,Automatic,5,5,Euro 6,22999
Nissan Juke,30053,2020,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,13499
BMW 3 Series,24098,2018,2,Diesel,Saloon,3.0L,Automatic,4,5,Euro 6,22600
Ford Kuga,47313,2018,2,Diesel,SUV,2.0L,Manual,5,5,Euro 6,14595
Renault Grand Scenic,73000,2011,2,Diesel,MPV,1.5L,Automatic,5,7,Euro 5,4000
Toyota Yaris,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5,Euro 6,13000
Nissan Leaf,60695,2014,0,Electric,Hatchback,null,Automatic,5,5,null,5390
Renault Captur,17000,2020,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,13364
SEAT Ibiza,43845,2019,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,12495
Audi A3 HATCHBACK,39611,2016,1,Petrol,Hatchback,1.4L,Manual,3,5,Euro 6,15361
Jaguar XE,71000,2016,2,Diesel,Saloon,2.0L,Manual,4,5,Euro 6,9495
KIA Xceed,22714,2020,0,Petrol,SUV,1.0L,Manual,5,5,Euro 6,15998
Jaguar XE,91000,2015,2,Diesel,Saloon,2.0L,Manual,4,5,Euro 6,7499
DS Automobiles Ds 3 Crossback,44026,2019,0,Diesel,SUV,1.5L,Manual,5,5,Euro 6,13150
Nissan Leaf,60695,2014,0,Electric,Hatchback,null,Automatic,5,5,null,5390
Toyota Aygo,16420,2019,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,10700
Vauxhall Insignia,64387,2016,2,Diesel,Hatchback,2.0L,Manual,5,5,Euro 6,6995
Audi Q5,126000,2013,0,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,10750
Nissan Qashqai Hatchback,46500,2016,2,Petrol,SUV,1.2L,Manual,5,5,Euro 6,10981
Citroen C1,29521,2014,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,6995
Vauxhall Corsa,20405,2020,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,11799
Ford Mondeo,104795,2019,0,Diesel,Hatchback,2.0L,Manual,5,5,Euro 6,9995
Infiniti Q50,117000,2014,2,Diesel,Saloon,2.2L,Automatic,4,5,Euro 5,7490
Fiat Fullback,155000,2016,2,Diesel,Pickup,2.4L,Manual,4,5,Euro 5,8388
Hyundai i10,8981,2019,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,10595
Mercedes-Benz C Class,135000,2007,0,Diesel,Estate,2.1L,Automatic,5,5,Euro 4,2495
Toyota Aygo,16420,2019,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,10700
Volkswagen T-cross,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,17670
KIA RIO,51234,2016,2,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,7499
Audi S3,80000,2010,6,Petrol,Hatchback,2.0L,Automatic,5,5,Euro 4,10995
Audi A1,80000,2013,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,6995
Vauxhall Insignia,108618,2013,0,Diesel,Estate,2.0L,Manual,5,5,Euro 5,4450
Audi A1 SPORTBACK,52153,2017,2,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,10802
Vauxhall Corsa,103359,2017,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 6,4995
Ford Kuga,39579,2020,1,Diesel,SUV,2.0L,Manual,5,5,Euro 6,15000
Ford Fiesta,89999,2011,0,Petrol,Hatchback,1.3L,Manual,3,5,Euro 5,2995
Renault Clio,49908,2021,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11890
Nissan Leaf,60695,2014,0,Electric,Hatchback,null,Automatic,5,5,null,5390
Citroen C3,33896,2018,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10381
MG MG ZS,1,2023,0,Petrol,SUV,1.5L,Manual,5,5,Euro 6,18365
Mercedes-Benz E Class,66358,2014,5,Diesel,Coupe,2.1L,Automatic,2,4,Euro 5,11050
SEAT Ateca,222,2023,0,Petrol,SUV,1.5L,Manual,5,5,Euro 6,25995
Mercedes-Benz A Class Diesel Hatchback,62012,2016,1,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,12495
Nissan Qashqai,68273,2017,3,Diesel,SUV,1.6L,Manual,5,5,Euro 6,12299
Volkswagen Golf,48690,2017,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,12495
Nissan Qashqai,68676,2018,2,Diesel,SUV,1.5L,Manual,5,5,Euro 6,12795
Audi A7,82000,2013,4,Diesel,Hatchback,3.0L,Automatic,5,5,Euro 5,10495
Vauxhall Corsa,40105,2021,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,12699
Nissan Leaf,60695,2014,0,Electric,Hatchback,null,Automatic,5,5,null,5390
Renault Clio,49908,2021,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11890
Peugeot 208,28491,2015,1,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,7180
Peugeot 3008,63845,2015,0,Diesel,SUV,1.6L,Manual,5,5,Euro 6,7995
BMW 1 Series,13271,2020,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,18798
Fiat 500,20000,2022,0,Petrol,Hatchback,1.0L,Manual,3,4,Euro 6,11495
Dacia Sandero Stepway,49432,2014,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,5490
Volkswagen Golf,130000,1988,1,Petrol,Convertible,1.8L,Manual,2,null,null,7000
Vauxhall Astra,100569,2018,1,Diesel,Estate,1.6L,Manual,5,5,Euro 6,6850
Renault Grand Scenic,73000,2011,2,Diesel,MPV,1.5L,Automatic,5,7,Euro 5,4000
Toyota Yaris,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5,Euro 6,13000
Volkswagen T-cross,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,17670
BMW 4 Series,120000,2016,0,Diesel,Coupe,2.0L,Automatic,2,4,Euro 6,11495
BMW 3 Series,36795,2020,1,Diesel Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,23220
Abarth 595,42237,2018,0,Petrol,Hatchback,1.4L,Manual,3,4,Euro 6,11699
Vauxhall Mokka,121910,2013,1,Diesel,SUV,1.7L,Manual,5,5,Euro 5,4600
Ford Ecosport Hatchback,36046,2018,2,Petrol,SUV,1.0L,Manual,5,5,Euro 6,11990
Hyundai Tucson,45540,2018,1,Petrol,SUV,1.6L,Manual,5,5,Euro 6,12500
Vauxhall Astra,57379,2015,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,5300
Ford Kuga,12080,2020,0,Diesel,SUV,1.5L,Manual,5,5,Euro 6,21798
Nissan Micra,30845,2020,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,10999
Audi A6,34364,2019,1,Diesel,Estate,2.0L,Automatic,5,5,Euro 6,25000
Toyota Aygo,110000,2006,4,Petrol,Hatchback,1.0L,Manual,5,4,Euro 4,1795
Renault Clio,49908,2021,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11890
Mercedes-Benz A Class,38000,2013,1,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 6,12995
Renault Clio,29264,2018,1,Petrol,Hatchback,0.9L,Manual,5,5,Euro 6,9290
Volkswagen Passat,65641,2019,1,Diesel,Saloon,2.0L,Manual,4,5,Euro 6,13150
Dacia Logan MCV,36588,2019,0,Diesel,Estate,1.5L,Manual,5,5,Euro 6,9995
Citroen C3 Aircross,16983,2021,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,14436
Renault Koleos,38252,2018,2,Diesel,SUV,2.0L,Automatic,5,5,Euro 6,16995
Hyundai i10,42040,2017,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,7290
Peugeot 208 PURETECH ACTIVE PREMIUM S/S HATCHBACK,21777,2022,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,14150
Toyota Aygo,110000,2006,4,Petrol,Hatchback,1.0L,Manual,5,4,Euro 4,1795
Renault Clio,49908,2021,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,11890
Volkswagen Polo,11500,2021,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,15970
Audi A6,84292,2018,2,Diesel,Saloon,2.0L,Automatic,4,5,Euro 6,15799
Vauxhall Corsa,13315,2020,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,13999
Vauxhall Crossland X,16497,2020,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,12399
Renault Clio,24424,2022,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,14499
Nissan Juke,33371,2017,2,Petrol,SUV,1.2L,Manual,5,5,Euro 6,9799
Mercedes-Benz A-class,44956,2019,1,Petrol,Hatchback,1.3L,Manual,5,5,Euro 6,17000
MINI Hatch,63500,2008,2,Petrol,Hatchback,1.6L,Automatic,3,4,Euro 4,4395
Dacia Duster Estate,10424,2022,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,14899
MINI Hatch,19385,2021,1,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,16900
Volkswagen T-cross,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,17670
Nissan Qashqai,45774,2020,0,Petrol,SUV,1.3L,Automatic,5,5,Euro 6,14990
Mercedes-Benz E Class,102000,2013,3,Diesel,Saloon,2.1L,Manual,4,5,Euro 5,5850
Citroen C3 PICASSO,32947,2017,0,Diesel,MPV,1.6L,Manual,5,5,Euro 6,7995
Vauxhall Corsa,48890,2015,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,6995
Jaguar XE,23982,2016,2,Diesel,Saloon,2.0L,Automatic,4,5,Euro 6,16950
Renault Captur,57005,2017,2,Diesel,SUV,1.5L,Manual,5,5,Euro 6,9195
Vauxhall Corsa,6669,2019,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,10999
Volkswagen Golf Diesel Hatchback,73500,2011,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,6588
Nissan Qashqai,73010,2014,2,Diesel,SUV,1.5L,Manual,5,5,Euro 5,8490
Volkswagen Polo,17422,2019,2,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,13170
Volkswagen Beetle,77250,2013,2,Petrol,Convertible,1.4L,Manual,2,4,Euro 5,10995
Mercedes-Benz C Class,135000,2007,0,Diesel,Estate,2.1L,Automatic,5,5,Euro 4,2495
Volkswagen T-cross,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5,Euro 6,17670
Volkswagen Polo,11500,2021,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,15970
Land Rover Discovery 4,111643,2015,4,Diesel,SUV,3.0L,Automatic,5,7,Euro 5,15500
Audi Q2 ESTATE,39950,2017,1,Petrol,SUV,1.4L,Manual,5,5,Euro 6,16995
Audi Q3,100000,2015,0,Diesel,SUV,2.0L,Automatic,5,5,Euro 6,11490
Ford Fiesta,67000,2014,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,5495
Volkswagen Polo,53727,2016,1,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,7995
Volkswagen UP,55559,2023,0,Petrol,Hatchback,1.0L,Manual,5,4,null,6750
Fiat 500X,20704,2019,2,Petrol,SUV,1.0L,Manual,5,5,Euro 6,12995
Renault Megane,36000,2019,2,Petrol,Estate,1.3L,Manual,5,5,Euro 6,12299
Volkswagen Scirocco Diesel Coupe,67202,2016,1,Diesel,Hatchback,2.0L,Manual,3,4,Euro 6,11289
Nissan Juke,45462,2019,1,Petrol,SUV,1.6L,Manual,5,5,Euro 6,11000
Jaguar XJ,50679,2006,5,Diesel,Saloon,2.7L,Automatic,4,5,Euro 4,8490
